1,mer.wav,hox.wav,jes.wav,lum.wav,fal.wav,ker.wav,rud.wav,sib.wav
2,tid.wav,lum.wav,mer.wav,lev.wav,jes.wav,zor.wav,,
3,rud.wav,nav.wav,kof.wav,lev.wav,,,,
4,tid.wav,lum.wav,taf.wav,nav.wav,mer.wav,lev.wav,rel.wav,zor.wav
5,rud.wav,sib.wav,mer.wav,hox.wav,fal.wav,nav.wav,jes.wav,zor.wav
6,rel.wav,lum.wav,kof.wav,neb.wav,rud.wav,ker.wav,,
7,daz.wav,hox.wav,kof.wav,neb.wav,taf.wav,sib.wav,,
8,rel.wav,zor.wav,tid.wav,sot.wav,mer.wav,lev.wav,rud.wav,sib.wav
9,kof.wav,hox.wav,jes.wav,sot.wav,fal.wav,nav.wav,,
10,kof.wav,hox.wav,tid.wav,lum.wav,jes.wav,sot.wav,daz.wav,neb.wav
11,daz.wav,hox.wav,taf.wav,nav.wav,kof.wav,neb.wav,,
12,taf.wav,sib.wav,tid.wav,sot.wav,kof.wav,lev.wav,rel.wav,lum.wav
13,fal.wav,ker.wav,jes.wav,lum.wav,,,,
14,jes.wav,lum.wav,mer.wav,lev.wav,rud.wav,sib.wav,kof.wav,hox.wav
15,daz.wav,neb.wav,kof.wav,lev.wav,fal.wav,nav.wav,jes.wav,lum.wav
16,mer.wav,hox.wav,kof.wav,neb.wav,jes.wav,zor.wav,,
17,rel.wav,zor.wav,tid.wav,sot.wav,taf.wav,nav.wav,rud.wav,ker.wav
18,mer.wav,lev.wav,kof.wav,hox.wav,taf.wav,sib.wav,rud.wav,nav.wav
19,taf.wav,nav.wav,rud.wav,ker.wav,daz.wav,hox.wav,rel.wav,zor.wav
20,jes.wav,lum.wav,fal.wav,nav.wav,,,,
21,daz.wav,neb.wav,tid.wav,lum.wav,kof.wav,hox.wav,rud.wav,nav.wav
22,taf.wav,nav.wav,kof.wav,lev.wav,fal.wav,ker.wav,daz.wav,neb.wav
23,jes.wav,zor.wav,rel.wav,lum.wav,taf.wav,sib.wav,,
24,daz.wav,hox.wav,tid.wav,sot.wav,rud.wav,ker.wav,rel.wav,lum.wav
25,jes.wav,zor.wav,kof.wav,hox.wav,,,,
26,fal.wav,ker.wav,jes.wav,sot.wav,rel.wav,zor.wav,,
27,kof.wav,lev.wav,rud.wav,ker.wav,tid.wav,lum.wav,daz.wav,hox.wav
28,mer.wav,hox.wav,tid.wav,sot.wav,rud.wav,sib.wav,,
29,tid.wav,sot.wav,mer.wav,lev.wav,daz.wav,neb.wav,jes.wav,lum.wav
30,daz.wav,neb.wav,rud.wav,nav.wav,kof.wav,hox.wav,jes.wav,sot.wav
31,kof.wav,neb.wav,mer.wav,lev.wav,rel.wav,zor.wav,jes.wav,sot.wav
32,rel.wav,lum.wav,mer.wav,lev.wav,jes.wav,zor.wav,rud.wav,sib.wav
33,mer.wav,hox.wav,fal.wav,ker.wav,,,,
34,rud.wav,ker.wav,rel.wav,lum.wav,taf.wav,nav.wav,kof.wav,neb.wav
35,rel.wav,zor.wav,daz.wav,hox.wav,tid.wav,lum.wav,kof.wav,neb.wav
36,fal.wav,nav.wav,mer.wav,hox.wav,daz.wav,neb.wav,taf.wav,sib.wav
37,tid.wav,sot.wav,mer.wav,hox.wav,kof.wav,lev.wav,,
38,jes.wav,sot.wav,daz.wav,neb.wav,fal.wav,ker.wav,tid.wav,lum.wav
39,kof.wav,lev.wav,rel.wav,lum.wav,daz.wav,hox.wav,,
